month,prob_still_closed,non_hormuz_share_p50,unmet_p50,spr_draw_p50,commercial_mb_p50,total_spr_mb_p50,national_spr_mb_p50,usdjpy_p50,usdjpy_p10,usdjpy_p90,jp10y_p50,us10y_p50,boj_rate_p50,phase1_repat_prob,phase2_repat_prob
2026-06,0.92805,0.7130631997312779,0.8953315941775126,0.4924323767976319,30.279270589685897,657.187028696071,401.7375686524462,159.7569840311728,157.79734206331534,161.52329809883634,2.760611770570362,4.612899721590344,0.75,0.30045,0.0267
2026-07,0.84085,0.7374737758739343,0.8135133914653935,0.4474323653059664,19.61125433641124,643.7326368447718,392.9922139491017,158.90402284327513,155.70039119924925,161.6251569803917,2.800725246825722,4.6467114469440105,0.75,0.51865,0.0774
2026-08,0.74935,0.7627670249144828,0.7276346031224286,0.4012493113005706,10.105077132406677,631.6501653376567,385.13860746947694,157.64191222697048,153.14756444738146,161.23510071836782,2.840859317981919,4.695007510915204,0.85,0.69025,0.15405
2026-09,0.6537999999999999,0.7914372669676952,0.6339261121470414,0.3754777962392922,1.7463978448864705,620.1052235312773,377.63439529533025,155.82685092393766,150.02973895345917,160.4925842196725,2.8804545755472306,4.753122600447739,0.85,0.81325,0.25065
2026-10,0.5578000000000001,0.8276612159485988,0.5209081321391602,0.4343632508611272,0.2999999999999996,605.7372491336494,368.2952119368721,153.6163016405415,146.41680029038346,159.25132534510612,2.9166956398741055,4.825058938053301,0.95,0.8949,0.35925
2026-11,0.45820000000000005,0.8512337846507698,0.443569254152313,0.40426195529096887,0.4587965379870871,591.5734282563899,359.0887283666535,151.12226575896207,145.0,157.65494135286312,2.949425783952876,4.906737626296975,0.95,0.94485,0.46695
2026-12,0.37150000000000005,0.8635417580512152,0.4026797476145817,0.36781075622603754,0.5246582679502952,579.3100001521265,351.11750009888226,148.1737793019211,145.0,155.6343555503193,2.9804336809006884,5.001849633673951,1.0,0.97505,0.5721
2027-01,0.29374999999999996,0.8691206892279745,0.3822900486769016,0.35078431640542734,0.5522712401272823,568.6306577154933,344.1759275150707,145.0,145.0,153.34055981755233,3.008904511358823,5.107827643882816,1.0,0.9888,0.6698
2027-02,0.22194999999999998,0.8726662083979562,0.36776570820248444,0.3406997341063227,0.5664028443239683,558.5397015053924,337.616805978505,145.0,145.0,150.78908676996036,3.043647817203362,5.223064626947172,1.0,0.99535,0.7509
